SymbolID,SymbolTypeID,SymbolValue,ExchangeID,ObjectID,SymbolStartDate,SymbolEndDate,ActiveFlag,PrimaryFlag,ProcessType
167135652,7291,24782683,NULL,43287966,NULL,06/03/2018,0,1,U
202036635,7291,29297015,NULL,43553845,NULL,03/30/2020,0,1,U
155486265,7291,3670623,NULL,44268253,NULL,03/15/2022,0,1,U
155486271,8279,36007214,NULL,44268253,04/10/2008,03/15/2022,0,1,U
98331606,7291,4312585,NULL,45835713,NULL,05/10/2018,0,1,U
113840770,7291,13937929,NULL,46888259,NULL,07/23/2020,0,1,U
201781827,7291,29275043,NULL,46949623,08/27/2015,06/17/2020,0,1,U
155485669,7291,4564767,NULL,48759375,NULL,07/09/2018,0,1,U
98446530,7291,4562721,NULL,49031404,NULL,05/22/2018,0,1,U
114941868,7291,12881467,NULL,49121047,NULL,01/17/2018,0,1,U
98471673,7291,4619854,NULL,49245729,NULL,11/09/2017,0,1,U
159263398,7291,4717105,NULL,49677780,NULL,10/19/2017,0,1,U
96048432,7291,837439,NULL,50202314,01/05/1998,08/17/2016,0,0,U
114675470,7291,4826108,NULL,50254576,NULL,10/28/2018,0,1,U
147103710,8279,39747570,NULL,50254576,NULL,10/28/2018,0,1,U
114506524,7291,12307678,NULL,51149371,NULL,05/03/2018,0,1,U
148325793,8279,58079448,NULL,51149371,NULL,05/03/2018,0,1,U
243867074,7291,32891914,NULL,51471171,NULL,12/03/2018,0,1,U
114538196,7291,12827504,NULL,52086024,NULL,12/16/2020,0,1,U
95625400,7291,306324,NULL,52637714,11/04/1994,09/23/2021,0,0,U
95845472,7291,599533,NULL,52637720,07/20/1992,09/26/2021,0,0,U
98044141,7291,3532257,NULL,52654578,11/01/2007,12/11/2019,0,0,U
114511106,7291,1026695,NULL,52656422,NULL,08/02/2016,0,1,U
96280472,7291,1026705,NULL,52656426,NULL,08/02/2016,0,1,U
114511095,7291,1026707,NULL,52656428,NULL,08/02/2016,0,1,U
114865736,7291,4481475,NULL,53338370,NULL,10/30/2018,0,1,U
146978492,8279,45685721,NULL,53338370,04/14/2009,10/30/2018,0,1,U
97802130,7291,3070207,NULL,53860627,NULL,03/17/2021,0,1,U
98230391,7291,3917445,NULL,54105339,NULL,06/29/2017,0,1,U
114663950,7291,3917880,NULL,54130040,NULL,06/29/2017,0,1,U
114662000,7291,3917853,NULL,54130229,NULL,06/29/2017,0,1,U
114662121,7291,3917689,NULL,54130535,NULL,06/29/2017,0,1,U
122815723,7291,969663,NULL,54151202,NULL,06/22/2017,0,1,U
142770470,7291,579752,NULL,54241316,NULL,12/13/2018,0,1,U
114587319,7291,4825942,NULL,58218673,NULL,10/11/2017,0,1,U
114587307,7291,4825974,NULL,58218677,NULL,10/11/2017,0,1,U
114554176,7291,11006267,NULL,58577957,NULL,09/24/2019,0,1,U
95948972,7291,717060,NULL,58601161,NULL,05/27/2019,0,1,U
97913142,7291,3262965,NULL,58666314,NULL,10/15/2019,0,1,U
97913141,7291,3262964,NULL,58666503,NULL,10/15/2019,0,1,U
113803850,7291,1979868,NULL,58829853,NULL,07/13/2020,0,1,U
113803851,7291,2008561,NULL,58830534,NULL,07/13/2020,0,1,U
158395659,7291,13968738,NULL,58832920,NULL,04/20/2020,0,1,U
146477481,7291,3382079,NULL,58970334,08/31/2007,03/04/2021,0,0,U
146472713,7291,3372833,NULL,58970343,NULL,03/04/2021,0,1,U
96975847,7291,1928588,NULL,59045169,NULL,12/05/2019,0,1,U
115036687,7291,2116523,NULL,59153783,NULL,05/14/2019,0,1,U
114760320,7291,2578950,NULL,59211897,NULL,05/15/2019,0,1,U
97760372,7291,3008447,NULL,59227537,03/19/2007,12/11/2019,0,0,U
95845453,7291,599582,NULL,59558251,05/31/1990,09/22/2021,0,0,U
146825882,7291,3990513,NULL,60012392,NULL,06/17/2019,0,1,U
114507178,7291,4822533,NULL,60015049,11/11/2008,10/11/2017,0,0,U
146531773,7291,3461398,NULL,60049094,NULL,05/01/2018,0,1,U
114904323,7291,3461412,NULL,60049095,NULL,05/01/2018,0,1,U
144249120,7291,1037274,NULL,60049096,NULL,05/01/2018,0,1,U
142476194,7291,198583,NULL,60049163,NULL,05/01/2018,0,1,U
