SymbolID,SymbolTypeID,SymbolValue,ExchangeID,ObjectID,SymbolStartDate,SymbolEndDate,ActiveFlag,PrimaryFlag,ProcessType
701706328,7289,CL0002786870,NULL,1799250095,10/25/2022,NULL,1,0,U
87235253,7291,1845307,NULL,1799250095,04/22/2004,NULL,1,0,U
701382799,7289,CZ0008472297,NULL,278407083,05/02/2005,NULL,1,0,U
87495263,7291,2144092,NULL,278407083,05/02/2005,NULL,1,0,U
701458788,7289,IE00B4L7DG41,NULL,129692580,07/13/2011,NULL,1,0,U
84804833,7291,13382165,NULL,129692580,07/13/2011,NULL,1,0,U
701454406,7289,IE00B4MBZ034,NULL,66421983,12/06/2010,NULL,1,0,U
86052606,7291,12130891,NULL,66421983,12/06/2010,NULL,1,0,U
701380814,7289,INE08L001010,NULL,617085239,06/14/2000,NULL,1,0,U
86659887,7291,1093496,NULL,617085239,06/14/2000,NULL,1,0,U
701379897,7289,INE0J1Y01017,NULL,1780826635,08/31/1995,NULL,1,0,U
87641105,7291,406709,NULL,1780826635,08/31/1995,NULL,1,0,U
701765108,7289,INF090I01361,NULL,275795999,12/10/2007,NULL,1,0,U
86336444,7291,3618417,NULL,275795999,12/10/2007,NULL,1,0,U
701380279,7289,INF090I01783,NULL,275793974,11/21/2007,NULL,1,0,U
86326239,7291,3574281,NULL,275793974,11/21/2007,NULL,1,0,U
701718288,7289,INF090I01BB1,NULL,248508546,12/10/2007,NULL,1,0,U
84850363,7291,3618478,NULL,248508546,12/10/2007,NULL,1,0,U
701395935,7289,INF090I01BG0,NULL,248508536,12/10/2007,NULL,1,0,U
84850357,7291,3618518,NULL,248508536,12/10/2007,NULL,1,0,U
701681044,7289,INF109K01CR9,NULL,248687241,10/24/2022,NULL,1,0,U
84141000,7291,10913761,NULL,248687241,01/13/2010,NULL,1,0,U
701703329,7289,INF174K01153,NULL,248617034,11/22/2007,NULL,1,0,U
86327684,7291,3578248,NULL,248617034,11/22/2007,NULL,1,0,U
701434445,7289,INF174K01245,NULL,248620209,11/23/2007,NULL,1,0,U
87538509,7291,3581528,NULL,248620209,11/23/2007,NULL,1,0,U
701393760,7289,INF179K01319,NULL,275286369,03/24/2009,NULL,1,0,U
84216526,7291,10062070,NULL,275286369,03/24/2009,NULL,1,0,U
701425077,7289,INF179K01327,NULL,248688489,03/24/2009,NULL,1,0,U
106448920,7291,10062087,NULL,248688489,03/24/2009,NULL,1,0,U
701404105,7289,INF179K01343,NULL,248688492,03/23/2009,NULL,1,0,U
84216519,7291,10059578,NULL,248688492,03/23/2009,NULL,1,0,U
701426285,7289,INF179K01400,NULL,275285929,11/21/2007,NULL,1,0,U
86326750,7291,3574564,NULL,275285929,11/21/2007,NULL,1,0,U
701728898,7289,INF179K01434,NULL,275286402,03/24/2008,NULL,1,0,U
86217581,7291,3903645,NULL,275286402,03/24/2008,NULL,1,0,U
701502612,7289,INF179K01459,NULL,275286403,03/24/2008,NULL,1,0,U
86217589,7291,3903656,NULL,275286403,03/24/2008,NULL,1,0,U
701412070,7289,INF179K01558,NULL,275286430,11/21/2007,NULL,1,0,U
86327139,7291,3574663,NULL,275286430,11/21/2007,NULL,1,0,U
701395936,7289,INF179K01574,NULL,275286431,11/21/2007,NULL,1,0,U
86327142,7291,3574672,NULL,275286431,11/21/2007,NULL,1,0,U
701542879,7289,INF179K01AK1,NULL,275302752,11/23/2007,NULL,1,0,U
86871165,7291,3581046,NULL,275302752,11/23/2007,NULL,1,0,U
701415214,7289,INF179K01AM7,NULL,248688493,11/23/2007,NULL,1,0,U
86871168,7291,3581057,NULL,248688493,11/23/2007,NULL,1,0,U
701729200,7289,INF179K01AN5,NULL,275302753,11/23/2007,NULL,1,0,U
86871281,7291,3581031,NULL,275302753,11/23/2007,NULL,1,0,U
701667803,7289,INF179K01CV4,NULL,250835474,10/24/2022,NULL,1,0,U
84565061,7291,11526669,NULL,250835474,07/12/2010,NULL,1,0,U
701416787,7289,INF179K01LA9,NULL,243810454,11/22/2007,NULL,1,0,U
86338120,7291,3578364,NULL,243810454,11/22/2007,NULL,1,0,U
701456111,7289,INF192K01494,NULL,254760040,03/26/2008,NULL,1,0,U
86329169,7291,3907375,NULL,254760040,03/26/2008,NULL,1,0,U
701652939,7289,INF192K01510,NULL,254760049,11/28/2007,NULL,1,0,U
86329172,7291,3591449,NULL,254760049,11/28/2007,NULL,1,0,U
701434819,7289,INF192K01585,NULL,246878240,11/29/2007,NULL,1,0,U
114287814,7291,3593361,NULL,246878240,11/29/2007,NULL,1,0,U
701405043,7289,INF192K01601,NULL,254760935,11/29/2007,NULL,1,0,U
114287812,7291,3593386,NULL,254760935,11/29/2007,NULL,1,0,U
701407718,7289,INF192K01833,NULL,254760559,11/27/2007,NULL,1,0,U
86830880,7291,3588959,NULL,254760559,11/27/2007,NULL,1,0,U
701380759,7289,INF192K01841,NULL,254760540,11/27/2007,NULL,1,0,U
86830877,7291,3588944,NULL,254760540,11/27/2007,NULL,1,0,U
701388101,7289,INF192K01866,NULL,254760548,11/27/2007,NULL,1,0,U
86830892,7291,3588951,NULL,254760548,11/27/2007,NULL,1,0,U
701412567,7289,INF192K01882,NULL,254760551,11/27/2007,NULL,1,0,U
86830889,7291,3588947,NULL,254760551,11/27/2007,NULL,1,0,U
701409686,7289,INF192K01981,NULL,254760834,11/27/2007,NULL,1,0,U
86830865,7291,3589106,NULL,254760834,11/27/2007,NULL,1,0,U
701422040,7289,INF194K01EK2,NULL,248697956,06/25/2009,NULL,1,0,U
86724923,7291,10306686,NULL,248697956,06/25/2009,NULL,1,0,U
701440289,7289,INF194K01FZ7,NULL,248698235,12/04/2007,NULL,1,0,U
86879241,7291,3605222,NULL,248698235,12/04/2007,NULL,1,0,U
701412027,7289,INF194K01GC4,NULL,248698231,12/04/2007,NULL,1,0,U
86879243,7291,3605224,NULL,248698231,12/04/2007,NULL,1,0,U
701500444,7289,INF194K01IN7,NULL,248696676,11/30/2007,NULL,1,0,U
85317191,7291,3597185,NULL,248696676,11/30/2007,NULL,1,0,U
701703915,7289,INF194K01IQ0,NULL,248697694,11/30/2007,NULL,1,0,U
85317200,7291,3597189,NULL,248697694,11/30/2007,NULL,1,0,U
701383607,7289,INF194K01IT4,NULL,248697690,11/30/2007,NULL,1,0,U
85317194,7291,3597192,NULL,248697690,11/30/2007,NULL,1,0,U
701406969,7289,INF194K01JW6,NULL,248692565,04/28/2009,NULL,1,0,U
85317239,7291,10156160,NULL,248692565,04/28/2009,NULL,1,0,U
701531458,7289,INF194K01KC6,NULL,248692563,04/28/2009,NULL,1,0,U
85317242,7291,10156294,NULL,248692563,04/28/2009,NULL,1,0,U
701433746,7289,INF194K01KF9,NULL,248692567,11/30/2007,NULL,1,0,U
85317197,7291,3597210,NULL,248692567,11/30/2007,NULL,1,0,U
701797858,7289,INF194K01KI3,NULL,248692568,04/28/2009,NULL,1,0,U
85317176,7291,10156167,NULL,248692568,04/28/2009,NULL,1,0,U
701388143,7289,INF194K01LO9,NULL,248691090,11/29/2007,NULL,1,0,U
86157304,7291,3594743,NULL,248691090,11/29/2007,NULL,1,0,U
701380841,7289,INF194K01QO8,NULL,248692310,06/25/2009,NULL,1,0,U
86507686,7291,10302954,NULL,248692310,06/25/2009,NULL,1,0,U
701440208,7289,INF194K01VZ4,NULL,275804335,11/30/2007,NULL,1,0,U
84349227,7291,3597479,NULL,275804335,11/30/2007,NULL,1,0,U
701381206,7289,INF200K01271,NULL,250433415,01/23/2008,NULL,1,0,U
114288164,7291,3723788,NULL,250433415,01/23/2008,NULL,1,0,U
701392897,7289,INF200K01610,NULL,247945587,12/03/2007,NULL,1,0,U
86812843,7291,3602467,NULL,247945587,12/03/2007,NULL,1,0,U
701390516,7289,INF200K01636,NULL,247945588,12/03/2007,NULL,1,0,U
86812840,7291,3602568,NULL,247945588,12/03/2007,NULL,1,0,U
701380758,7289,INF200K01644,NULL,250440015,12/03/2007,NULL,1,0,U
86812835,7291,3602551,NULL,250440015,12/03/2007,NULL,1,0,U
701416788,7289,INF200K01669,NULL,250440012,12/03/2007,NULL,1,0,U
86812829,7291,3602588,NULL,250440012,12/03/2007,NULL,1,0,U
701464480,7289,INF200K01990,NULL,250433410,12/05/2007,NULL,1,0,U
86350279,7291,3608502,NULL,250433410,12/05/2007,NULL,1,0,U
701380781,7289,INF200K01LR7,NULL,275796539,12/10/2007,NULL,1,0,U
86448988,7291,3618914,NULL,275796539,12/10/2007,NULL,1,0,U
701388103,7289,INF200K01LS5,NULL,275796540,12/10/2007,NULL,1,0,U
86448985,7291,3618874,NULL,275796540,12/10/2007,NULL,1,0,U
